titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,INNOV,Innovation,2,0898-5626,1464-5114,1464-5114,entrepreneurship-and-regional-development
FAMILY BUSINESS REVIEW,INNOV,Innovation,2,0894-4865,1741-6248,1741-6248,family-business-review
"INNOVATIONS, REVUE D'ÉCONOMIE ET DE MANAGEMENT DE L'INNOVATION",INNOV,Innovation,2,1267-4982,1965-0256,1965-0256,innovations-revue-d-economie-et-de-management-de-l-innovation
INTERNATIONAL SMALL BUSINESS JOURNAL,INNOV,Innovation,2,0266-2426,1741-2870,1741-2870,international-small-business-journal
JOURNAL OF SMALL BUSINESS MANAGEMENT,INNOV,Innovation,2,0047-2778,1540-627X,1540-627X,journal-of-small-business-management
JOURNAL OF TECHNOLOGY TRANSFER,INNOV,Innovation,2,0892-9912,1573-7047,1573-7047,journal-of-technology-transfer
R&D MANAGEMENT,INNOV,Innovation,2,0033-6807,1467-9310,1467-9310,randd-management
REVUE DE L'ENTREPRENEURIAT,INNOV,Innovation,2,1766-2524,1630-7542,1630-7542,revue-de-l-entrepreneuriat
REVUE INTERNATIONALE PME (RIPME),INNOV,Innovation,2,0776-5436,1918-9699,1918-9699,revue-internationale-pme-ripme
SMALL BUSINESS ECONOMICS,INNOV,Innovation,2,0921-898X,1573-0913,1573-0913,small-business-economics
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,INNOV,Innovation,2,0040-1625,1873-5509,1873-5509,technological-forecasting-and-social-change
TECHNOVATION,INNOV,Innovation,2,0166-4972,1879-2383,1879-2383,technovation
CREATIVITY AND INNOVATION MANAGEMENT,INNOV,Innovation,3,0963-1690,1467-8691,1467-8691,creativity-and-innovation-management
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,INNOV,Innovation,3,1043-8599,1476-8364,1476-8364,economics-of-innovation-and-new-technology
ENTREPRENEURSHIP RESEARCH JOURNAL,INNOV,Innovation,3,2157-5665,2157-5665,2157-5665,entrepreneurship-research-journal
EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,INNOV,Innovation,3,1460-1060,1758-7115,1758-7115,european-journal-of-innovation-management
FUTURES,INNOV,Innovation,3,0016-3287,1873-6378,1873-6378,futures
GROWTH AND CHANGE,INNOV,Innovation,3,0017-4815,1468-2257,1468-2257,growth-and-change
INDUSTRY AND INNOVATION,INNOV,Innovation,3,1366-2716,1469-8390,1469-8390,industry-and-innovation
"INNOVATION: ORGANIZATION & MANAGEMENT (FORMERLY: INNOVATION: MANAGEMENT, POLICY AND PRACTICE)",INNOV,Innovation,3,1447-9338,2204-0226,2204-0226,innovation-organization-and-management-formerly-innovation-management-policy-and-practice
INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,INNOV,Innovation,3,1554-7191,1555-1938,1555-1938,international-entrepreneurship-and-management-journal
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOUR AND RESEARCH,INNOV,Innovation,3,1355-2554,1758-6534,1758-6534,international-journal-of-entrepreneurial-behaviour-and-research
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,INNOV,Innovation,3,0267-5730,1741-5276,1741-5276,international-journal-of-technology-management
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,INNOV,Innovation,3,0923-4748,1879-1719,1879-1719,journal-of-engineering-and-technology-management
JOURNAL OF FAMILY BUSINESS STRATEGY,INNOV,Innovation,3,1877-8585,1877-8593,1877-8593,journal-of-family-business-strategy
