titre,discipline_code,discipline,rang_fnege_2025,pissn,eissn,issn_cle,slug,editeur,openalex_id,nom_openalex
FINANCE CONTRÔLE STRATÉGIE,FIN,Finance,3,1287-1141,2261-5512,2261-5512,finance-controle-strategie,,https://openalex.org/S4210186947,Finance Contrôle Stratégie
FINANCE RESEARCH LETTERS,FIN,Finance,3,1544-6123,1544-6131,1544-6131,finance-research-letters,Elsevier BV,https://openalex.org/S88577320,Finance research letters
"""FINANCIAL MARKETS"," INSTITUTIONS AND INSTRUMENTS""",FIN,Finance,3,0963-8008,1468-0416,1468-0416,Wiley,https://openalex.org/S39811122,Financial Markets Institutions and Instruments
FINANCIAL REVIEW,FIN,Finance,3,0732-8516,1540-6288,1540-6288,financial-review,Wiley,https://openalex.org/S9351053,Financial Review
GENEVA PAPERS ON RISK AND INSURANCE: ISSUES AND PRACTICE,FIN,Finance,3,1018-5895,1468-0440,1468-0440,geneva-papers-on-risk-and-insurance-issues-and-practice,Palgrave Macmillan,https://openalex.org/S151491554,The Geneva Papers on Risk and Insurance Issues and Practice
INSURANCE: MATHEMATICS AND ECONOMICS,FIN,Finance,3,0167-6687,1873-5959,1873-5959,insurance-mathematics-and-economics,Elsevier BV,https://openalex.org/S198325475,Insurance Mathematics and Economics
INTERNATIONAL JOURNAL OF FINANCE AND ECONOMICS,FIN,Finance,3,1076-9307,1099-1158,1099-1158,international-journal-of-finance-and-economics,Wiley,https://openalex.org/S146099957,International Journal of Finance & Economics
INTERNATIONAL REVIEW OF ECONOMICS AND FINANCE,FIN,Finance,3,1059-0560,1873-8036,1873-8036,international-review-of-economics-and-finance,Elsevier BV,https://openalex.org/S168273071,International Review of Economics & Finance
INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS,FIN,Finance,3,1057-5219,1873-8079,1873-8079,international-review-of-financial-analysis,Elsevier BV,https://openalex.org/S145572626,International Review of Financial Analysis
JOURNAL OF COMMODITY MARKETS,FIN,Finance,3,2405-8505,2405-8513,2405-8513,journal-of-commodity-markets,Elsevier BV,https://openalex.org/S2898531903,Journal of commodity markets
JOURNAL OF DERIVATIVES,FIN,Finance,3,1074-1240,2168-8524,2168-8524,journal-of-derivatives,,https://openalex.org/S173901576,The Journal of Derivatives
JOURNAL OF FINANCIAL RESEARCH,FIN,Finance,3,0270-2592,1475-6803,1475-6803,journal-of-financial-research,Wiley,https://openalex.org/S74917840,The Journal of Financial Research
JOURNAL OF FINANCIAL SERVICES RESEARCH,FIN,Finance,3,0920-8550,1573-0735,1573-0735,journal-of-financial-services-research,Springer Science+Business Media,https://openalex.org/S79175213,Journal of Financial Services Research
JOURNAL OF FIXED INCOME,FIN,Finance,3,1059-8596,1059-8596,1059-8596,journal-of-fixed-income,Euromoney Institutional Investor,https://openalex.org/S99789271,The Journal of Fixed Income
JOURNAL OF FUTURES MARKETS,FIN,Finance,3,0270-7314,1096-9934,1096-9934,journal-of-futures-markets,Wiley,https://openalex.org/S136612413,Journal of Futures Markets
"""JOURNAL OF INTERNATIONAL FINANCIAL MARKETS"," INSTITUTIONS AND MONEY""",FIN,Finance,3,1042-4431,1873-0612,1873-0612,Elsevier BV,https://openalex.org/S82743730,Journal of International Financial Markets Institutions and Money
JOURNAL OF PORTFOLIO MANAGEMENT,FIN,Finance,3,0095-4918,2168-8656,2168-8656,journal-of-portfolio-management,Euromoney Institutional Investor,https://openalex.org/S143806524,The Journal of Portfolio Management
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,FIN,Finance,3,0895-5638,1573-045X,1573-045X,journal-of-real-estate-finance-and-economics,Springer Science+Business Media,https://openalex.org/S202178085,The Journal of Real Estate Finance and Economics
NORTH AMERICAN ACTUARIAL JOURNAL,FIN,Finance,3,1092-0277,2325-0453,2325-0453,north-american-actuarial-journal,Taylor & Francis,https://openalex.org/S2764463436,North American Actuarial Journal
PACIFIC BASIN FINANCE JOURNAL,FIN,Finance,3,0927-538X,1879-0585,1879-0585,pacific-basin-finance-journal,Elsevier BV,https://openalex.org/S29049940,Pacific-Basin Finance Journal
QUANTITATIVE FINANCE,FIN,Finance,3,1469-7688,1469-7696,1469-7696,quantitative-finance,Taylor & Francis,https://openalex.org/S182689569,Quantitative Finance
REAL ESTATE ECONOMICS,FIN,Finance,3,1080-8620,1540-6229,1540-6229,real-estate-economics,Wiley,https://openalex.org/S129086836,Real Estate Economics
RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,FIN,Finance,3,0275-5319,1878-3384,1878-3384,research-in-international-business-and-finance,Elsevier BV,https://openalex.org/S8133038,Research in International Business and Finance
REVIEW OF ASSET PRICING STUDIES,FIN,Finance,3,2045-9939,2045-9939,2045-9939,review-of-asset-pricing-studies,Oxford University Press,https://openalex.org/S2735409286,The Review of Asset Pricing Studies
REVIEW OF DERIVATIVES RESEARCH,FIN,Finance,3,1380-6645,1573-7144,1573-7144,review-of-derivatives-research,Springer Science+Business Media,https://openalex.org/S100711025,Review of Derivatives Research
REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING,FIN,Finance,3,0924-865X,1573-7179,1573-7179,review-of-quantitative-finance-and-accounting,Springer Science+Business Media,https://openalex.org/S62110574,Review of Quantitative Finance and Accounting
THE EUROPEAN JOURNAL OF FINANCE,FIN,Finance,3,1351-847X,1466-4364,1466-4364,the-european-journal-of-finance,Taylor & Francis,https://openalex.org/S82316188,European Journal of Finance
THE GENEVA RISK AND INSURANCE REVIEW,FIN,Finance,3,1554-964X,1554-9658,1554-9658,the-geneva-risk-and-insurance-review,Palgrave Macmillan,https://openalex.org/S194824457,The Geneva Risk and Insurance Review
THE QUARTERLY REVIEW OF ECONOMICS AND FINANCE,FIN,Finance,3,1062-9769,1878-4259,1878-4259,the-quarterly-review-of-economics-and-finance,Elsevier BV,https://openalex.org/S125273398,The Quarterly Review of Economics and Finance
JOURNAL OF APPLIED PSYCHOLOGY,HRM,GRH,1*,0021-9010,1939-1854,1939-1854,journal-of-applied-psychology,American Psychological Association,https://openalex.org/S166002381,Journal of Applied Psychology
PERSONNEL PSYCHOLOGY,HRM,GRH,1*,0031-5826,1744-6570,1744-6570,personnel-psychology,Wiley,https://openalex.org/S84664706,Personnel Psychology
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,HRM,GRH,1,0007-1080,1467-8543,1467-8543,british-journal-of-industrial-relations,Wiley,https://openalex.org/S61595665,British Journal of Industrial Relations
HUMAN RELATIONS,HRM,GRH,1,0018-7267,1741-282X,1741-282X,human-relations,SAGE Publishing,https://openalex.org/S61446109,Human Relations
HUMAN RESOURCE MANAGEMENT,HRM,GRH,1,0090-4848,1099-050X,1099-050X,human-resource-management,Wiley,https://openalex.org/S134094273,Human Resource Management
HUMAN RESOURCE MANAGEMENT JOURNAL,HRM,GRH,1,0954-5395,1748-8583,1748-8583,human-resource-management-journal,Wiley,https://openalex.org/S113497174,Human Resource Management Journal
INDUSTRIAL RELATIONS: A JOURNAL OF ECONOMY AND SOCIETY,HRM,GRH,1,0019-8676,1468-232X,1468-232X,industrial-relations-a-journal-of-economy-and-society,Wiley,https://openalex.org/S174105208,Industrial Relations A Journal of Economy and Society
JOURNAL OF LABOR ECONOMICS,HRM,GRH,1,0734-306X,1537-5307,1537-5307,journal-of-labor-economics,University of Chicago Press,https://openalex.org/S8557221,Journal of Labor Economics
JOURNAL OF VOCATIONAL BEHAVIOR,HRM,GRH,1,0001-8791,1095-9084,1095-9084,journal-of-vocational-behavior,Elsevier BV,https://openalex.org/S25746158,Journal of Vocational Behavior
LEADERSHIP QUARTERLY,HRM,GRH,1,1048-9843,1873-3409,1873-3409,leadership-quarterly,Elsevier BV,https://openalex.org/S152304618,The Leadership Quarterly
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,HRM,GRH,1,0749-5978,1095-9920,1095-9920,organizational-behavior-and-human-decision-processes,Elsevier BV,https://openalex.org/S64744539,Organizational Behavior and Human Decision Processes
@GRH,HRM,GRH,2,2034-9130,2295-9149,2295-9149,grh,De Boeck,https://openalex.org/S4210216728,GRH
APPLIED PSYCHOLOGY: AN INTERNATIONAL REVIEW,HRM,GRH,2,0269-994X,1464-0597,1464-0597,applied-psychology-an-international-review,Wiley,https://openalex.org/S47864991,Applied Psychology
BUSINESS ETHICS QUARTERLY,HRM,GRH,2,1052-150X,2153-3326,2153-3326,business-ethics-quarterly,Cambridge University Press,https://openalex.org/S9702615,Business Ethics Quarterly
"""GENDER"," WORK AND ORGANIZATION""",HRM,GRH,2,0968-6673,1468-0432,1468-0432,Wiley,https://openalex.org/S172342871,Gender Work and Organization
GROUP AND ORGANIZATION MANAGEMENT,HRM,GRH,2,1059-6011,1552-3993,1552-3993,group-and-organization-management,SAGE Publishing,https://openalex.org/S192266589,Group & Organization Management
HUMAN RESOURCE MANAGEMENT REVIEW,HRM,GRH,2,1053-4822,1873-7889,1873-7889,human-resource-management-review,Elsevier BV,https://openalex.org/S185253248,Human Resource Management Review
ILR REVIEW (INDUSTRIAL AND LABOR RELATIONS REVIEW),HRM,GRH,2,0019-7939,2162-271X,2162-271X,ilr-review-industrial-and-labor-relations-review,SAGE Publishing,https://openalex.org/S192274990,Industrial and Labor Relations Review
